codeGroup;groupInternalId;name;groupDescription;type;lighted;markingDescription;heightUnit;heightValue;elevationValue;latitude;longitude;defaultHeightFlag;verticalPrecision;lateralPrecision;obstacleRadius;linkedToGroupInternalId;linkType;validUntil;effectiveFrom;origin 
 15117045842949392;0;205-HL-1;Power line;Mast;false;No Marking and/or Lighting;m;60;410;47.676055;8.45798;true;;;;1;cable;;; 
 15117045842949392;1;205-HL-1;Power line;Mast;false;No Marking and/or Lighting;m;60;410;47.675594;8.459303;true;;;;2;cable;;; 
 15117045842949392;2;205-HL-1;Power line;Mast;false;No Marking and/or Lighting;m;60;414;47.677357;8.463332;true;;;;3;cable;;; 
 15117045842949392;3;205-HL-1;Power line;Mast;false;No Marking and/or Lighting;m;60;424;47.677375;8.467971;true;;;;4;cable;;; 
 15117045842949392;4;205-HL-1;Power line;Mast;false;No Marking and/or Lighting;m;60;445;47.679313;8.475631;true;;;;5;cable;;; 
 15117045842949392;5;205-HL-1;Power line;Mast;false;No Marking and/or Lighting;m;60;455;47.68046;8.490041;true;;;;6;cable;;; 
 15117045842949392;6;205-HL-1;Power line;Mast;false;No Marking and/or Lighting;m;60;471;47.680279;8.516834;true;;;;7;cable;;; 
 15117045842949392;7;205-HL-1;Power line;Mast;false;No Marking and/or Lighting;m;60;475;47.679933;8.519397;true;;;;8;cable;;; 
 15117045842949392;8;205-HL-1;Power line;Mast;false;No Marking and/or Lighting;m;60;431;47.68462;8.523719;true;;;;9;cable;;; 
 15117045842949392;9;205-HL-1;Power line;Mast;false;No Marking and/or Lighting;m;60;433;47.686799;8.528305;true;;;;10;cable;;; 
 15117045842949392;10;205-HL-1;Power line;Mast;false;No Marking and/or Lighting;m;60;438;47.687135;8.530549;true;;;;11;cable;;; 
 15117045842949392;11;205-HL-1;Power line;Mast;false;No Marking and/or Lighting;m;60;434;47.686706;8.545611;true;;;;12;cable;;; 
 15117045842949392;12;205-HL-1;Power line;Mast;false;No Marking and/or Lighting;m;60;482;47.68156;8.558028;true;;;;13;cable;;; 
 15117045842949392;13;205-HL-1;Power line;Mast;false;No Marking and/or Lighting;m;60;440;47.690802;8.579168;true;;;;14;cable;;; 
 15117045842949392;14;205-HL-1;Power line;Mast;false;No Marking and/or Lighting;m;60;440;47.691467;8.589487;true;;;;15;cable;;; 
 15117045842949392;15;205-HL-1;Power line;Mast;false;No Marking and/or Lighting;m;60;454;47.690065;8.594785;true;;;;16;cable;;; 
 15117045842949392;16;205-HL-1;Power line;Mast;false;No Marking and/or Lighting;m;60;455;47.693133;8.602845;true;;;;17;cable;;; 
 15117045842949392;17;205-HL-1;Power line;Mast;false;No Marking and/or Lighting;m;60;455;47.693116;8.60451;true;;;;18;cable;;; 
 15117045842949392;18;205-HL-1;Power line;Mast;false;No Marking and/or Lighting;m;60;457;47.692186;8.607487;true;;;;19;cable;;; 
 15117045842949392;19;205-HL-1;Power line;Mast;false;No Marking and/or Lighting;m;60;457;47.689462;8.610091;true;;;;20;cable;;; 
 15117045842949392;20;205-HL-1;Power line;Mast;false;No Marking and/or Lighting;m;60;481;47.689435;8.612754;true;;;;;cable;;; 
 5787589209750681;;205-SH-10;Antenna;Antenna;false;No Marking and/or Lighting;m;25;590;47.683021;8.422021;false;;;;;;;; 
 1921678856768510;;205-SH-10011;Antenna;Antenna;false;No Marking and/or Lighting;m;65;681;47.767006;8.495748;false;;;;;;;; 
 16562854854523292;;205-SH-10014-LSPF;Tower/Pole;Tower;true;Marked and lighted;m;63;702;47.657848;8.492642;false;;;;;;;; 
 11727492485917176;;205-SH-10016-LSPF;Tower/Pole;Tower;false;No Marking and/or Lighting;m;32;682;47.705078;8.580949;false;;;;;;;; 
 11481080102134514;;205-SH-13;Antenna;Antenna;false;No Marking and/or Lighting;m;60;965;47.774067;8.567534;false;;;;;;;; 
 4364506584880858;;205-SH-2;Antenna;Antenna;true;Lighted;m;66;907;47.730523;8.538892;false;;;;;;;; 
 11927840875380144;;205-SH-20000;Antenna;Antenna;false;No Marking and/or Lighting;m;27;677;47.793496;8.612794;false;;;;;;;; 
 6137001506461536;;205-SH-20001;Antenna;Antenna;false;No Marking and/or Lighting;m;36;536;47.713766;8.634616;false;;;;;;;; 
 9228898149348898;;205-SH-20005;Wind turbine;Windturbine;false;No Marking and/or Lighting;m;45;462;47.692575;8.467369;false;;;;;;;; 
 6715699326079742;;205-SH-30014;Crane/Cranes;Crane;true;Marked and lighted;m;68;464;47.692056;8.621782;false;;;;;;;; 
 15252749336307148;;205-SH-30020;Crane/Cranes;Crane;true;Marked and lighted;m;60;461;47.690725;8.622013;false;;;;;;;; 
 3588786795085467;;205-SH-30022;Construction posts;Tower;true;Marked and lighted;m;77;518;47.682362;8.613005;false;;;;;;;; 
 546443182959061;;205-SH-5;Building;Building;true;Marked and lighted;m;48;537;47.712585;8.635789;false;;;;;;;; 
 6812248608572794;;205-SH-8;Antenna;Antenna;true;Marked and lighted;m;75;594;47.692311;8.612951;false;;;;;;;; 
 5176057885569717;;205-ZH-30016;Antenna;Antenna;false;No Marking and/or Lighting;m;36;471;47.6691;8.62329;false;;;;;;;; 
 8744550380194464;0;206-HL-1;Power line;Mast;false;No Marking and/or Lighting;m;60;423;47.657549;8.775131;true;;;;1;cable;;; 
 8744550380194464;1;206-HL-1;Power line;Mast;false;No Marking and/or Lighting;m;60;432;47.649594;8.762951;true;;;;2;cable;;; 
 8744550380194464;2;206-HL-1;Power line;Mast;false;No Marking and/or Lighting;m;60;430;47.645128;8.760177;true;;;;;cable;;; 
 12687465271598340;0;206-HL-2;Power line;Mast;false;No Marking and/or Lighting;m;60;583;47.642329;8.986704;true;;;;1;cable;;; 
 12687465271598340;1;206-HL-2;Power line;Mast;false;No Marking and/or Lighting;m;60;574;47.645913;8.987807;true;;;;2;cable;;; 
 12687465271598340;2;206-HL-2;Power line;Mast;false;No Marking and/or Lighting;m;60;556;47.650206;8.986268;true;;;;3;cable;;; 
 12687465271598340;3;206-HL-2;Power line;Mast;false;No Marking and/or Lighting;m;60;507;47.654931;8.986073;true;;;;4;cable;;; 
 12687465271598340;4;206-HL-2;Power line;Mast;false;No Marking and/or Lighting;m;60;491;47.656473;8.988448;true;;;;5;cable;;; 
 12687465271598340;5;206-HL-2;Power line;Mast;false;No Marking and/or Lighting;m;60;493;47.657575;8.990145;true;;;;;cable;;; 
 9850005367631382;0;206-HL-3;Power line;Mast;false;No Marking and/or Lighting;m;60;398;47.676379;8.818623;true;;;;1;cable;;; 
 9850005367631382;1;206-HL-3;Power line;Mast;false;No Marking and/or Lighting;m;60;400;47.678165;8.819801;true;;;;;cable;;; 
 8919895762898162;0;206-HL-30001;Power line;Mast;false;No Marking and/or Lighting;m;40;418;47.658825;8.778399;true;;;;1;cable;;; 
 8919895762898162;1;206-HL-30001;Power line;Mast;false;No Marking and/or Lighting;m;40;424;47.660256;8.782189;true;;;;2;cable;;; 
 8919895762898162;2;206-HL-30001;Power line;Mast;false;No Marking and/or Lighting;m;40;424;47.661243;8.783226;true;;;;3;cable;;; 
 8919895762898162;3;206-HL-30001;Power line;Mast;false;No Marking and/or Lighting;m;40;426;47.663061;8.787759;true;;;;4;cable;;; 
 8919895762898162;4;206-HL-30001;Power line;Mast;false;No Marking and/or Lighting;m;40;428;47.663468;8.796823;true;;;;5;cable;;; 
 8919895762898162;5;206-HL-30001;Power line;Mast;false;No Marking and/or Lighting;m;40;442;47.664442;8.809631;true;;;;6;cable;;; 
 8919895762898162;6;206-HL-30001;Power line;Mast;false;No Marking and/or Lighting;m;40;465;47.665548;8.810471;true;;;;7;cable;;; 
 8919895762898162;7;206-HL-30001;Power line;Mast;false;No Marking and/or Lighting;m;40;409;47.683544;8.823484;true;;;;8;cable;;; 
 8919895762898162;8;206-HL-30001;Power line;Mast;false;No Marking and/or Lighting;m;40;409;47.685121;8.823312;true;;;;9;cable;;; 
 8919895762898162;9;206-HL-30001;Power line;Mast;false;No Marking and/or Lighting;m;40;403;47.693547;8.816618;true;;;;10;cable;;; 
 8919895762898162;10;206-HL-30001;Power line;Mast;false;No Marking and/or Lighting;m;40;404;47.694141;8.814289;true;;;;11;cable;;; 
 8919895762898162;11;206-HL-30001;Power line;Mast;false;No Marking and/or Lighting;m;40;404;47.695249;8.812639;true;;;;12;cable;;; 
 8919895762898162;12;206-HL-30001;Power line;Mast;false;No Marking and/or Lighting;m;40;409;47.696946;8.811444;true;;;;13;cable;;; 
 8919895762898162;13;206-HL-30001;Power line;Mast;false;No Marking and/or Lighting;m;40;409;47.698605;8.810301;true;;;;14;cable;;; 
 8919895762898162;14;206-HL-30001;Power line;Mast;false;No Marking and/or Lighting;m;40;417;47.704088;8.80454;true;;;;15;cable;;; 
 8919895762898162;15;206-HL-30001;Power line;Mast;false;No Marking and/or Lighting;m;40;414;47.709554;8.800097;true;;;;16;cable;;; 
 8919895762898162;16;206-HL-30001;Power line;Mast;false;No Marking and/or Lighting;m;40;425;47.713089;8.779171;true;;;;17;cable;;; 
 8919895762898162;17;206-HL-30001;Power line;Mast;false;No Marking and/or Lighting;m;40;439;47.712178;8.764515;true;;;;18;cable;;; 
 8919895762898162;18;206-HL-30001;Power line;Mast;false;No Marking and/or Lighting;m;40;484;47.714768;8.750319;true;;;;19;cable;;; 
 8919895762898162;19;206-HL-30001;Power line;Mast;false;No Marking and/or Lighting;m;40;466;47.726946;8.739156;true;;;;20;cable;;; 
 8919895762898162;20;206-HL-30001;Power line;Mast;false;No Marking and/or Lighting;m;40;429;47.731645;8.737139;true;;;;21;cable;;; 
 8919895762898162;21;206-HL-30001;Power line;Mast;false;No Marking and/or Lighting;m;40;446;47.738801;8.724514;true;;;;22;cable;;; 
 8919895762898162;22;206-HL-30001;Power line;Mast;false;No Marking and/or Lighting;m;40;435;47.739737;8.721203;true;;;;23;cable;;; 
 8919895762898162;23;206-HL-30001;Power line;Mast;false;No Marking and/or Lighting;m;40;436;47.73974;8.716803;true;;;;24;cable;;; 
 8919895762898162;24;206-HL-30001;Power line;Mast;false;No Marking and/or Lighting;m;40;438;47.740467;8.712074;true;;;;25;cable;;; 
 8919895762898162;25;206-HL-30001;Power line;Mast;false;No Marking and/or Lighting;m;40;451;47.740544;8.709916;true;;;;26;cable;;; 
 8919895762898162;26;206-HL-30001;Power line;Mast;false;No Marking and/or Lighting;m;40;443;47.741156;8.708224;true;;;;;cable;;; 
 13637477158470582;0;206-HL-4;Power line;Mast;false;No Marking and/or Lighting;m;60;503;47.71928;8.640738;true;;;;1;cable;;; 
 13637477158470582;1;206-HL-4;Power line;Mast;false;No Marking and/or Lighting;m;60;479;47.723285;8.644828;true;;;;;cable;;; 
 5865492526687614;;206-SH-10000;Tower/Pole;Tower;false;No Marking and/or Lighting;m;38;634;47.788393;8.658656;false;;;;;;;; 
 8550269792247873;;206-SH-2;Chimney;Chimney;false;No Marking and/or Lighting;m;70;546;47.746873;8.689504;false;;;;;;;; 
 13270158188249180;;206-SH-20000;Antenna;Antenna;false;No Marking and/or Lighting;m;27;462;47.742321;8.715265;false;;;;;;;; 
 6800736963475967;;206-TG-1;Chimney;Chimney;false;No Marking and/or Lighting;m;62;554;47.654623;8.975414;false;;;;;;;; 
 11155093715726082;;206-TG-20001;Antenna;Antenna;false;No Marking and/or Lighting;m;37;472;47.670151;8.805277;false;;;;;;;; 
 4781042545257940;;206-TG-20002;Antenna;Antenna;false;No Marking and/or Lighting;m;27;432;47.679608;8.692446;false;;;;;;;; 
 8562232986924194;;206-TG-20004;Antenna;Antenna;false;No Marking and/or Lighting;m;30;455;47.677944;8.769319;false;;;;;;;; 
